,Entrez ID,RWR_score
0,100289574,7.49108382474622e-08
1,10519,3.811255811224275e-05
2,54949,2.093341697555601e-05
3,2812,5.654629568173428e-05
4,58985,5.722096609521065e-06
5,84140,1.5890048573189445e-05
6,28984,1.4574329663250217e-06
7,853531,3.6400352760642947e-08
8,10421,5.7423679676364055e-05
9,852026,1.459874150690143e-07
10,851424,4.035901094403894e-06
11,79583,8.816875598002614e-05
12,54707,1.4420725275155072e-05
13,10076,0.00010588023562857486
14,77987,1.1658489358703801e-07
15,74764,8.180246191556192e-06
16,1472,8.216078454074031e-05
17,84749,6.126262444522389e-05
18,7748,1.91082895026734e-05
19,855592,2.9168912091038045e-07
20,64896,4.403724939168442e-08
21,6345,3.1763476275894023e-07
22,100040659,3.0061837870362137e-07
23,128346,1.523413980622821e-06
24,11230,8.351367239558388e-05
25,10457,5.242774654483494e-06
26,140856,3.271222771649707e-07
27,1773,7.249334513280239e-07
28,140735,8.464867924332544e-05
29,65250,1.584211275858865e-06
30,59084,8.096876597761035e-06
31,23806,7.00900273253556e-08
32,84335,7.626041674000668e-06
33,50604,2.814933905623065e-06
34,28513,3.476564886354971e-06
35,9603,2.0280591902044967e-06
36,11276,6.138309599188628e-05
37,296966,4.403724939168442e-08
38,9751,9.58931862536482e-06
39,852257,7.437200280137155e-07
40,245940,1.4895378601040807e-07
41,8048,4.682055064615897e-06
42,117592,1.1658489358703801e-07
43,100131608,2.1736122183475273e-08
44,23162,2.871058235979738e-05
45,226977,3.2250116927209547e-06
46,730755,4.918627180901433e-06
47,56784,1.1658489358703801e-07
48,6301,9.888914772899652e-05
49,11015,5.5523791308296175e-05
50,5511,4.70681152690627e-05
51,6476,2.0452190247442835e-06
52,21454,7.684967753242196e-07
53,728190,2.9387202840939524e-07
54,80833,1.84671615845887e-05
55,2332,0.00013530579451668194
56,100287482,5.8743764241294194e-08
57,83989,1.0672168275942275e-05
58,5929,6.851642924197094e-05
59,17494242,3.13332031727093e-06
60,67630,1.4367891137147172e-07
61,115209,9.674655737593166e-05
62,55220,1.5835824377029195e-06
63,856425,5.506671971993346e-07
64,23012,3.3101287971221366e-05
65,192117,2.8405541619405955e-07
66,107733,7.308575433334124e-08
67,207375,1.1658489358703801e-07
68,23683,1.6745058629081614e-05
69,303477,7.749786719125508e-08
70,25994,5.7404133488816844e-05
71,4893,0.002487442447913927
72,6532,2.0276429259305693e-05
73,103344929,4.124061561995532e-05
74,170690,2.8387767511740534e-07
75,64928,3.552967453844203e-05
76,853546,3.6400352760642947e-08
77,292,0.0003589761330212401
78,55911,7.316058016770244e-07
79,2046,1.3488353402267344e-05
80,56904,0.0004472728263666265
81,89766,1.8359764185109092e-06
82,55815,1.3881484112390005e-05
83,101926895,3.758589144793101e-07
84,5976,0.00020592492119830423
85,851705,2.2846951451750808e-07
86,449520,5.145596956793515e-08
87,54461,3.354907930489399e-05
88,2532,2.1175401274018215e-06
89,55521,1.7947282763766662e-05
90,9215,6.485039718297309e-05
91,855114,1.459874150690143e-07
92,23025,5.902593303219105e-06
93,10059,0.00026980468264057683
94,2540550,2.0337687474595037e-07
95,55867,1.0230362883183945e-06
96,117195,1.7526810850967592e-07
97,5864,4.931236665048471e-05
98,4722,0.00020253977758276132
99,491,0.0001963252986329957
100,54093,7.993946080309758e-06
101,854102,1.5493065573164815e-06
102,23247,1.9842573484374727e-06
103,10400,1.5738421461071976e-05
104,118487,6.008483260463297e-05
105,7976,1.9277013327447814e-05
106,84709,0.00018860453265520408
107,1670,9.82276974238375e-05
108,854742,3.9253598333747174e-08
109,10330,3.562174313242157e-05
110,644914,2.793123065642005e-07
111,56171,1.5623314117461623e-06
112,1293,7.757510953361899e-07
113,200539,4.463561050422179e-06
114,3803,3.620761872050242e-06
115,1329,9.268163909595215e-05
116,9179,1.0469943167776595e-05
117,853177,1.1531578011031276e-07
118,4673,0.0008167780916827226
119,28,5.953713919663825e-07
120,223864,2.2147909854057784e-07
121,285829,1.1024585856041784e-07
122,642658,4.5933555105749293e-07
123,219990,4.144906041227813e-07
124,18028,1.1658489358703801e-07
125,9828,2.5360884556637546e-05
126,25885,9.61933846873753e-05
127,256369,4.230106844346848e-06
128,851647,2.1833798669391963e-07
129,10290,1.075645957182237e-05
130,79568,6.542929316827655e-05
131,219482,1.5912030653436268e-06
132,10893,2.319339490922053e-07
133,79740,4.215174393041463e-06
134,56257,0.0003898115496781212
135,101290500,1.0459501771325545e-07
136,79192,4.019858712855796e-06
137,101060301,6.14521480903584e-07
138,4710,4.946261457157066e-05
139,255743,1.3187059890760112e-05
140,29122,2.0347085903827952e-05
141,266971,6.096932765896237e-05
142,29264,1.0820236107192102e-07
143,12417,6.485971910934224e-07
144,1601,8.772254995850689e-05
145,4836,8.990291394638525e-05
146,4919,3.4122869646141865e-05
147,80209,6.168640293632209e-06
148,219431,3.5106886111968246e-06
149,9466,8.816831060475562e-05
150,57282,1.4514010954062629e-06
151,6518,4.04899013397028e-06
152,144100,3.441102401858047e-05
153,79716,1.5837441450940474e-05
154,3706,5.682591386183585e-06
155,70218,1.2613018772382208e-06
156,23859,1.1658489358703801e-07
157,6495,3.14022400434619e-05
158,2312,0.0002561225179161992
159,282463,1.1214082148043053e-07
160,19211,4.3748552993385235e-06
161,19360,3.4926919659061127e-06
162,6295,1.5567933522217211e-06
163,79989,1.4192989615453077e-05
164,90316,3.1138898423991877e-06
165,440829,9.45172256806375e-07
166,853647,2.3477170933213365e-07
167,285641,3.4827284832518044e-07
168,285203,0.00013325331047064865
169,850539,2.3990095847624837e-06
170,22998,7.544662551370284e-05
171,632,2.3484381210991168e-06
172,7991,4.754425034817138e-05
173,6945,5.095585688302821e-05
174,4130,0.00011955098707931998
175,2026,6.77955821916978e-05
176,1146,1.8845388870386876e-06
177,3799,0.00015068746965972524
178,51637,8.612656644408126e-05
179,56647,7.147245285761071e-05
180,128408,4.481107861936499e-06
181,83468,5.287460232383685e-05
182,4668,8.405397071151359e-05
183,12412,0.0006150491083316489
184,10092,8.896706177401241e-05
