Compound name,Compound,Gene Symbol,ncbitaxid,RelationSign
vanillic acid,CP00007694,MIR122,9606,associate
vanillic acid,CP00007694,UGT1A10,9606,activate
vanillic acid,CP00007694,PDC,9606,associate
vanillic acid,CP00007694,NOS3,9606,activate
vanillic acid,CP00007694,Olfr73,10090,activate
vanillic acid,CP00007694,UGT1A7,9606,activate
vanillic acid,CP00007694,ADH5,9606,associate
vanillic acid,CP00007694,TMEM200C,9606,associate
vanillic acid,CP00007694,UGT1A3,9606,activate
vanillic acid,CP00007694,NQO2,9606,associate
vanillic acid,CP00007694,GP9,9606,associate
vanillic acid,CP00007694,UGT1A8,9606,activate
vanillic acid,CP00007694,G6PD,9606,associate
vanillic acid,CP00007694,NOS2,9606,associate
vanillic acid,CP00007694,KAT7,9606,associate
vanillic acid,CP00007694,COMT,9606,associate
vanillic acid,CP00007694,NT5E,9606,associate
vanillic acid,CP00007694,MTR,9606,associate
vanillic acid,CP00007694,ACMSD,9606,associate
vanillic acid,CP00007694,TYR,9606,associate
vanillic acid,CP00007694,APTX,9606,associate
vanillic acid,CP00007694,SYK,9606,associate
vanillic acid,CP00007694,TAAR1,9606,associate
vanillic acid,CP00007694,DAP,9606,associate
vanillic acid,CP00007694,C2,9606,associate
vanillic acid,CP00007694,GPI,9606,associate
vanillic acid,CP00007694,LPO,9606,associate
vanillic acid,CP00007694,PTGS1,9606,associate
vanillic acid,CP00007694,MBD2,9606,associate
vanillic acid,CP00007694,PTGS2,9606,associate
vanillic acid,CP00007694,MIP,9606,associate
vanillic acid,CP00007694,GTF2IRD1,9606,associate
vanillic acid,CP00007694,UROD,9606,associate
vanillic acid,CP00007694,CBR4,9606,associate
vanillic acid,CP00007694,MPO,9606,associate
vanillic acid,CP00007694,AIFM3,9606,associate
vanillic acid,CP00007694,NQO1,9606,associate
vanillic acid,CP00007694,APPL1,9606,associate
vanillic acid,CP00007694,GTPBP1,9606,associate
vanillic acid,CP00007694,NOS3,9606,associate
vanillic acid,CP00007694,TNIP1,9606,associate
vanillic acid,CP00007694,RPS5,9606,associate
vanillic acid,CP00007694,RP2,9606,associate
vanillic acid,CP00007694,SLC25A11,9606,associate
vanillic acid,CP00007694,SLC9A2,9606,associate
vanillic acid,CP00007694,CCNI,9606,associate
vanillic acid,CP00007694,ALG5,9606,associate
vanillic acid,CP00007694,CAT,9606,associate
vanillic acid,CP00007694,MRPS7,9606,associate
vanillic acid,CP00007694,NARFL,9606,associate
vanillic acid,CP00007694,ARFIP2,9606,associate
vanillic acid,CP00007694,ZCCHC11,9606,associate
vanillic acid,CP00007694,SQOR,9606,associate
vanillic acid,CP00007694,CUX2,9606,associate
vanillic acid,CP00007694,ATP5F1B,9606,associate
vanillic acid,CP00007694,MTPAP,9606,associate
vanillic acid,CP00007694,FOXRED1,9606,associate
vanillic acid,CP00007694,MTIF2,9606,associate
vanillic acid,CP00007694,SLC9A1,9606,associate
vanillic acid,CP00007694,PDCL3,9606,associate
vanillic acid,CP00007694,SLC9A3,9606,associate
vanillic acid,CP00007694,TARS,9606,associate
vanillic acid,CP00007694,RNF113B,9606,associate
vanillic acid,CP00007694,GALM,9606,associate
vanillic acid,CP00007694,HIST1H2BA,9606,associate
vanillic acid,CP00007694,SLC2A12,9606,associate
vanillic acid,CP00007694,SLC2A13,9606,associate
vanillic acid,CP00007694,TMPRSS11D,9606,associate
vanillic acid,CP00007694,AIFM1,9606,associate
vanillic acid,CP00007694,EXOG,9606,associate
vanillic acid,CP00007694,HIST1H2BD,9606,associate
vanillic acid,CP00007694,EIF5B,9606,associate
vanillic acid,CP00007694,LMX1A,9606,associate
vanillic acid,CP00007694,SLC9A4,9606,associate
vanillic acid,CP00007694,PDCL2,9606,associate
vanillic acid,CP00007694,SLC9B1,9606,associate
vanillic acid,CP00007694,ARFIP1,9606,associate
vanillic acid,CP00007694,RPS23,9606,associate
vanillic acid,CP00007694,PAPD4,9606,associate
vanillic acid,CP00007694,GPR85,9606,associate
vanillic acid,CP00007694,SLC9A5,9606,associate
vanillic acid,CP00007694,MRPL58,9606,associate
vanillic acid,CP00007694,GPR27,9606,associate
vanillic acid,CP00007694,MRPL39,9606,associate
vanillic acid,CP00007694,SLC9C1,9606,associate
vanillic acid,CP00007694,GLUL,9606,associate
vanillic acid,CP00007694,MRPS12,9606,associate
vanillic acid,CP00007694,NARF,9606,associate
vanillic acid,CP00007694,COQ2,9606,associate
vanillic acid,CP00007694,TTC7A,9606,associate
vanillic acid,CP00007694,B3GNTL1,9606,associate
vanillic acid,CP00007694,SLC9A9,9606,associate
vanillic acid,CP00007694,HIST1H2BC,9606,associate
vanillic acid,CP00007694,SLC9A7,9606,associate
vanillic acid,CP00007694,GPR173,9606,associate
vanillic acid,CP00007694,COQ6,9606,associate
vanillic acid,CP00007694,TTC7B,9606,associate
vanillic acid,CP00007694,TARSL2,9606,associate
vanillic acid,CP00007694,ACACB,9606,associate
vanillic acid,CP00007694,HIST1H2BJ,9606,associate
vanillic acid,CP00007694,UGT1A10,9606,associate
vanillic acid,CP00007694,SLC25A10,9606,associate
vanillic acid,CP00007694,ETFB,9606,associate
vanillic acid,CP00007694,OCA2,9606,associate
vanillic acid,CP00007694,H2BFM,9606,associate
vanillic acid,CP00007694,LMX1B,9606,associate
vanillic acid,CP00007694,HIST1H2BF,9606,associate
vanillic acid,CP00007694,HIST1H2BK,9606,associate
vanillic acid,CP00007694,GRAMD1C,9606,associate
vanillic acid,CP00007694,SLC2A10,9606,associate
vanillic acid,CP00007694,CUX1,9606,associate
vanillic acid,CP00007694,SLC9B2,9606,associate
vanillic acid,CP00007694,H2BFWT,9606,associate
vanillic acid,CP00007694,SLC9A8,9606,associate
vanillic acid,CP00007694,SLC9C2,9606,associate
vanillic acid,CP00007694,TARS2,9606,associate
vanillic acid,CP00007694,HIST2H2BE,9606,associate
vanillic acid,CP00007694,NEURL1,9606,associate
vanillic acid,CP00007694,NEURL1B,9606,associate
vanillic acid,CP00007694,LGSN,9606,associate
vanillic acid,CP00007694,SLC9A6,9606,associate
vanillic acid,CP00007694,RNF113A,9606,associate
vanillic acid,CP00007694,DPM1,9606,associate
vanillic acid,CP00007694,SLC2A6,9606,associate
vanillic acid,CP00007694,ENDOG,9606,associate
vanillic acid,CP00007694,SLC2A8,9606,associate
vanillic acid,CP00007694,UGT1A7,9606,associate
vanillic acid,CP00007694,UGT1A8,9606,associate
vanillic acid,CP00007694,ZCCHC6,9606,associate
vanillic acid,CP00007694,HIST1H2BL,9606,associate
vanillic acid,CP00007694,HIST1H2BI,9606,associate
vanillic acid,CP00007694,E2F4,9606,associate
vanillic acid,CP00007694,CARNS1,9606,associate
vanillic acid,CP00007694,TMBIM6,9606,associate
vanillic acid,CP00007694,UGT1A3,9606,associate
vanillic acid,CP00007694,GRAMD1B,9606,associate
vanillic acid,CP00007694,GRAMD1A,9606,associate
vanillic acid,CP00007694,HIST2H2BF,9606,associate
vanillic acid,CP00007694,TUT1,9606,associate
vanillic acid,CP00007694,FDXR,9606,associate
vanillic acid,CP00007694,PNLIP,9823,inhibit
vanillic acid,CP00007694,AKR1B1,9606,inhibit
vanillic acid,CP00007694,ANTXR2,9606,inhibit
vanillic acid,CP00007694,CA7,9606,associate
vanillic acid,CP00007694,CA2,9606,associate
vanillic acid,CP00007694,CA1,9606,associate
vanillic acid,CP00007694,CA14,9606,associate
vanillic acid,CP00007694,CA12,9606,associate
vanillic acid,CP00007694,CA9,9606,associate
vanillic acid,CP00007694,CA6,9606,associate
vanillic acid,CP00007694,TTR,9606,associate
vanillic acid,CP00007694,CA4,9606,associate
vanillic acid,CP00007694,RARB,9606,associate
vanillic acid,CP00007694,CA3,9606,associate
vanillic acid,CP00007694,CA5A,9606,associate
vanillic acid,CP00007694,RARG,9606,associate
vanillic acid,CP00007694,RARA,9606,associate
vanillic acid,CP00007694,ALOX5,9606,associate
vanillic acid,CP00007694,PTPN7,9606,associate
vanillic acid,CP00007694,DUSP3,9606,associate
vanillic acid,CP00007694,MCL1,9606,associate
vanillic acid,CP00007694,CA5B,9606,associate
vanillic acid,CP00007694,ALOX15,9606,associate
vanillic acid,CP00007694,ALOX12,9606,associate
vanillic acid,CP00007694,SRD5A2,9606,associate
vanillic acid,CP00007694,PTPN1,9606,associate
vanillic acid,CP00007694,AKR1C3,9606,associate
vanillic acid,CP00007694,LTB4R,9606,associate
vanillic acid,CP00007694,CTDSP1,9606,associate
vanillic acid,CP00007694,PTPN5,9606,associate
vanillic acid,CP00007694,EGFR,9606,associate
vanillic acid,CP00007694,MAOB,9606,associate
vanillic acid,CP00007694,ATG4B,9606,associate
vanillic acid,CP00007694,GLO1,9606,associate
vanillic acid,CP00007694,CAMK2A,9606,associate
vanillic acid,CP00007694,EP300,9606,associate
vanillic acid,CP00007694,TNFRSF1A,9606,associate
vanillic acid,CP00007694,THRB,9606,associate
vanillic acid,CP00007694,LDHA,9606,associate
vanillic acid,CP00007694,FYN,9606,associate
vanillic acid,CP00007694,KLF5,9606,associate
vanillic acid,CP00007694,SENP7,9606,associate
vanillic acid,CP00007694,GPR55,9606,associate
vanillic acid,CP00007694,MMP9,9606,associate
vanillic acid,CP00007694,ACVR1,9606,associate
vanillic acid,CP00007694,ALPI,9606,associate
vanillic acid,CP00007694,AHR,9606,associate
vanillic acid,CP00007694,XBP1,9606,associate
vanillic acid,CP00007694,PDE4B,9606,associate
vanillic acid,CP00007694,LPAR3,9606,associate
vanillic acid,CP00007694,APOBEC3G,9606,associate
vanillic acid,CP00007694,APP,9606,associate
vanillic acid,CP00007694,HCAR3,9606,associate
vanillic acid,CP00007694,CSNK1G2,9606,associate
vanillic acid,CP00007694,PTPN6,9606,associate
vanillic acid,CP00007694,CA13,9606,associate
vanillic acid,CP00007694,TLR9,9606,associate
vanillic acid,CP00007694,GPR35,9606,associate
vanillic acid,CP00007694,AURKA,9606,associate
vanillic acid,CP00007694,SHBG,9606,associate
vanillic acid,CP00007694,ABCB1,9606,associate
vanillic acid,CP00007694,CSNK2A1,9606,associate
vanillic acid,CP00007694,PBK,9606,associate
vanillic acid,CP00007694,CES2,9606,associate
vanillic acid,CP00007694,TAOK1,9606,associate
vanillic acid,CP00007694,PLEC,9606,associate
vanillic acid,CP00007694,TGFBR2,9606,associate
vanillic acid,CP00007694,SLCO1B1,9606,associate
vanillic acid,CP00007694,STK4,9606,associate
vanillic acid,CP00007694,VCAM1,9606,associate
vanillic acid,CP00007694,ADCY1,9606,associate
vanillic acid,CP00007694,ADAMTS4,9606,associate
vanillic acid,CP00007694,CFTR,9606,associate
vanillic acid,CP00007694,CYP11B2,9606,associate
vanillic acid,CP00007694,GGPS1,9606,associate
vanillic acid,CP00007694,CACNA1B,9606,associate
vanillic acid,CP00007694,FGF1,9606,associate
vanillic acid,CP00007694,FCER2,9606,associate
vanillic acid,CP00007694,FOLR1,9606,associate
vanillic acid,CP00007694,ALOX5AP,9606,associate
vanillic acid,CP00007694,PDK2,9606,associate
vanillic acid,CP00007694,PHOSPHO1,9606,associate
vanillic acid,CP00007694,TMPRSS6,9606,associate
vanillic acid,CP00007694,PRKCE,9606,associate
vanillic acid,CP00007694,ITGA4,9606,associate
vanillic acid,CP00007694,SSTR3,9606,associate
vanillic acid,CP00007694,STS,9606,associate
vanillic acid,CP00007694,SSTR5,9606,associate
vanillic acid,CP00007694,WNT3A,9606,associate
vanillic acid,CP00007694,PDE1B,9606,associate
vanillic acid,CP00007694,PLA2G4A,9606,associate
vanillic acid,CP00007694,PLA2G2A,9606,associate
vanillic acid,CP00007694,RELA,9606,associate
vanillic acid,CP00007694,KIF11,9606,associate
vanillic acid,CP00007694,SERPINE1,9606,associate
vanillic acid,CP00007694,TXK,9606,associate
vanillic acid,CP00007694,NAMPT,9606,associate
vanillic acid,CP00007694,CDK8,9606,associate
vanillic acid,CP00007694,NR1H4,9606,associate
esculetin,CP04450465,XDH,9606,inhibit
esculetin,CP04450465,LMNA,9606,associate
esculetin,CP04450465,HSD17B10,9606,associate
esculetin,CP04450465,KDM4E,9606,associate
esculetin,CP04450465,CASP7,9606,associate
esculetin,CP04450465,LOC110245663,1720309,associate
esculetin,CP04450465,MAPT,9606,associate
esculetin,CP04450465,HIF1A,9606,associate
esculetin,CP04450465,ALDH1A1,9606,associate
esculetin,CP04450465,ALOX15,9606,associate
esculetin,CP04450465,HPGD,9606,associate
esculetin,CP04450465,GLA,9606,associate
esculetin,CP04450465,CASP1,9606,associate
esculetin,CP04450465,CYP3A4,9606,associate
esculetin,CP04450465,GAA,9606,associate
esculetin,CP04450465,CYP1A2,9606,associate
esculetin,CP04450465,LARP6,9606,inhibit
esculetin,CP04450465,PTGS1,9606,inhibit
esculetin,CP04450465,AKR1B1,9606,inhibit
esculetin,CP04450465,SORD,9606,inhibit
esculetin,CP04450465,MPI,9606,inhibit
esculetin,CP04450465,FTL,9796,associate
esculetin,CP04450465,pxo1_107,1392,associate
esculetin,CP04450465,GBA,9606,associate
esculetin,CP04450465,KDM4A,9606,associate
esculetin,CP04450465,SV40gp6,1891767,inhibit
esculetin,CP04450465,EHMT2,9606,associate
esculetin,CP04450465,POLI,9606,associate
esculetin,CP04450465,POLK,9606,associate
esculetin,CP04450465,UGT1A1,9606,associate
esculetin,CP04450465,UGT1A10,9606,associate
esculetin,CP04450465,UGT1A3,9606,associate
esculetin,CP04450465,UGT1A4,9606,associate
esculetin,CP04450465,UGT1A8,9606,associate
esculetin,CP04450465,UGT2B15,9606,associate
esculetin,CP04450465,BACE1,9606,inhibit
esculetin,CP04450465,BACE1,9606,associate
esculetin,CP04450465,HSPA5,9606,associate
esculetin,CP04450465,GMNN,9606,associate
esculetin,CP04450465,GLS,9606,associate
esculetin,CP04450465,ATXN2,9606,associate
esculetin,CP04450465,IDH1,9606,associate
esculetin,CP04450465,SLCO1B1,9606,associate
esculetin,CP04450465,SLCO1B3,9606,associate
esculetin,CP04450465,IDO1,9606,associate
esculetin,CP04450465,ERAP1,9606,associate
esculetin,CP04450465,MBNL1,9606,associate
esculetin,CP04450465,LOC110237936,1720309,inhibit
esculetin,CP04450465,CDK4,9606,associate
esculetin,CP04450465,BCL2,9606,inhibit
esculetin,CP04450465,PTGDS,9606,associate
esculetin,CP04450465,KCNA3,9606,associate
esculetin,CP04450465,ALOX15B,9606,associate
esculetin,CP04450465,BMP6,9606,associate
esculetin,CP04450465,PPARG,9606,associate
esculetin,CP04450465,ODC1,9606,associate
esculetin,CP04450465,BGN,9606,associate
esculetin,CP04450465,DNAJB7,9606,associate
esculetin,CP04450465,TP53,9606,activate
esculetin,CP04450465,CYCS,9606,associate
esculetin,CP04450465,ALOX5,9606,associate
esculetin,CP04450465,CASP3,9606,associate
esculetin,CP04450465,SPOCK1,9606,associate
esculetin,CP04450465,FASLG,9606,activate
esculetin,CP04450465,NFE2L2,9606,activate
esculetin,CP04450465,SPOCK2,9606,associate
esculetin,CP04450465,TNFRSF10A,9606,activate
esculetin,CP04450465,CDK2,9606,associate
esculetin,CP04450465,MAPK3,9606,associate
esculetin,CP04450465,PTAFR,9606,associate
esculetin,CP04450465,CASP9,9606,associate
esculetin,CP04450465,FADS1,9606,associate
esculetin,CP04450465,FASLG,9606,associate
esculetin,CP04450465,DDIT3,9606,associate
esculetin,CP04450465,TPSG1,9606,associate
esculetin,CP04450465,TNFRSF10A,9606,associate
esculetin,CP04450465,CASP8,9606,activate
esculetin,CP04450465,ALOX12B,9606,associate
esculetin,CP04450465,MAPK14,9606,associate
esculetin,CP04450465,MAPK3,9606,inhibit
esculetin,CP04450465,ALOX12,9606,associate
esculetin,CP04450465,CDKN1A,9606,activate
esculetin,CP04450465,NQO1,9606,associate
esculetin,CP04450465,HSPG2,9606,associate
esculetin,CP04450465,CRYZ,9606,associate
esculetin,CP04450465,PLA2G1B,9606,associate
esculetin,CP04450465,TYR,9606,associate
esculetin,CP04450465,MAPK1,9606,associate
esculetin,CP04450465,PCLAF,9606,associate
esculetin,CP04450465,CEACAM8,9606,associate
esculetin,CP04450465,PPOX,9606,associate
esculetin,CP04450465,MAPK1,9606,inhibit
esculetin,CP04450465,EDN1,9606,associate
esculetin,CP04450465,TNFSF10,9606,associate
esculetin,CP04450465,EPYC,9606,associate
esculetin,CP04450465,PRG4,9606,associate
esculetin,CP04450465,COMT,9606,associate
esculetin,CP04450465,HPGDS,9606,associate
esculetin,CP04450465,OPTC,9606,associate
esculetin,CP04450465,SLC22A6,9606,associate
esculetin,CP04450465,BCL2,9606,associate
esculetin,CP04450465,STX8,9606,associate
esculetin,CP04450465,CDK2,9606,activate
esculetin,CP04450465,DCN,9606,associate
esculetin,CP04450465,IMPG2,9606,associate
esculetin,CP04450465,FN1,9606,associate
esculetin,CP04450465,ZNFX1,9606,associate
esculetin,CP04450465,IL2,9606,associate
esculetin,CP04450465,PDGFA,9606,associate
esculetin,CP04450465,CCND1,9606,associate
esculetin,CP04450465,BAX,9606,associate
esculetin,CP04450465,BMP6,9606,inhibit
esculetin,CP04450465,KERA,9606,associate
esculetin,CP04450465,PTGS2,9606,associate
esculetin,CP04450465,SPOCK3,9606,associate
esculetin,CP04450465,TP53,9606,associate
esculetin,CP04450465,CDKN1A,9606,associate
esculetin,CP04450465,MAPK9,9606,activate
esculetin,CP04450465,CASP9,9606,activate
esculetin,CP04450465,CASP8,9606,associate
esculetin,CP04450465,MAPK8,9606,associate
esculetin,CP04450465,SRGN,9606,associate
esculetin,CP04450465,SLC25A13,9606,associate
esculetin,CP04450465,TGFB1,9606,associate
esculetin,CP04450465,LOX,9606,associate
esculetin,CP04450465,TGFBR3,9606,associate
esculetin,CP04450465,BAX,9606,activate
esculetin,CP04450465,SULF1,9606,associate
esculetin,CP04450465,LTB,9606,associate
esculetin,CP04450465,MAPK1,9606,activate
esculetin,CP04450465,CASP3,9606,activate
esculetin,CP04450465,MAPK14,9606,inhibit
esculetin,CP04450465,MAPK8,9606,activate
esculetin,CP04450465,NFE2L2,9606,associate
esculetin,CP04450465,NOS2,9606,activate
esculetin,CP04450465,BCL2L1,9606,associate
esculetin,CP04450465,ALOX5AP,9606,associate
esculetin,CP04450465,TNFRSF10B,9606,associate
esculetin,CP04450465,MMP13,9606,associate
esculetin,CP04450465,CDK2,9606,inhibit
esculetin,CP04450465,BID,9606,activate
esculetin,CP04450465,NQO1,9606,activate
esculetin,CP04450465,MAPK9,9606,associate
esculetin,CP04450465,FAS,9606,associate
esculetin,CP04450465,ALOXE3,9606,associate
esculetin,CP04450465,XDH,9606,associate
esculetin,CP04450465,CDK4,9606,inhibit
esculetin,CP04450465,MAPK3,9606,activate
esculetin,CP04450465,BID,9606,associate
esculetin,CP04450465,NOS2,9606,associate
esculetin,CP04450465,UGT2B15,9606,activate
esculetin,CP04450465,CYP20A1,9606,associate
esculetin,CP04450465,NYX,9606,associate
